date,revision,ticker,name
2017-10-01,2017-09-29,ADSK,Autodesk
2017-10-01,2017-09-29,ADP,Automatic Data Processing
2017-10-01,2017-09-29,BIDU,Baidu
2017-10-01,2017-09-29,BIIB,Biogen
2017-10-01,2017-09-29,BMRN,BioMarin Pharmaceutical
2017-10-01,2017-09-29,AVGO,Broadcom Limited
2017-10-01,2017-09-29,CA,CA Technologies
2017-10-01,2017-09-29,CELG,Celgene
2017-10-01,2017-09-29,CERN,Cerner
2017-10-01,2017-09-29,CHTR,Charter Communications
2017-10-01,2017-09-29,CHKP,Check Point
2017-10-01,2017-09-29,CTAS,Cintas
2017-10-01,2017-09-29,CSCO,Cisco Systems
2017-10-01,2017-09-29,CTXS,Citrix Systems
2017-10-01,2017-09-29,CTSH,Cognizant Technology Solutions
2017-10-01,2017-09-29,CMCSA,Comcast
2017-10-01,2017-09-29,COST,Costco
2017-10-01,2017-09-29,CSX,CSX Corporation
2017-10-01,2017-09-29,CTRP,Ctrip
2017-10-01,2017-09-29,XRAY,Dentsply Sirona
2017-10-01,2017-09-29,DISCA,Discovery Communications
2017-10-01,2017-09-29,DISCK,Discovery Communications
2017-10-01,2017-09-29,DISH,Dish Network
2017-10-01,2017-09-29,DLTR,Dollar Tree
2017-10-01,2017-09-29,EBAY,eBay
2017-10-01,2017-09-29,EA,Electronic Arts
2017-10-01,2017-09-29,EXPE,"Expedia, Inc."
2017-10-01,2017-09-29,ESRX,Express Scripts
2017-10-01,2017-09-29,FB,"Facebook, Inc."
2017-10-01,2017-09-29,FAST,Fastenal
2017-10-01,2017-09-29,FISV,Fiserv
2017-10-01,2017-09-29,GILD,Gilead Sciences
2017-10-01,2017-09-29,HAS,Hasbro
2017-10-01,2017-09-29,HSIC,Henry Schein
2017-10-01,2017-09-29,HOLX,Hologic
2017-10-01,2017-09-29,IDXX,Idexx Laboratories
2017-10-01,2017-09-29,ILMN,Illumina (company)
2017-10-01,2017-09-29,INCY,Incyte
2017-10-01,2017-09-29,INTC,Intel Corporation
2017-10-01,2017-09-29,INTU,Intuit
2017-10-01,2017-09-29,ISRG,Intuitive Surgical
2017-10-01,2017-09-29,JBHT,J. B. Hunt
2017-10-01,2017-09-29,JD,JD.com
2017-10-01,2017-09-29,KLAC,KLA-Tencor
2017-10-01,2017-09-29,LRCX,Lam Research
2017-10-01,2017-09-29,LBTYA,Liberty Global
2017-10-01,2017-09-29,LBTYK,Liberty Global
2017-10-01,2017-09-29,LILA,Liberty Global
2017-10-01,2017-09-29,LILAK,Liberty Global
2017-10-01,2017-09-29,LVNTA,Liberty Interactive
2017-10-01,2017-09-29,QVCA,Liberty Interactive
2017-10-01,2017-09-29,MAR,Marriott International
2017-10-01,2017-09-29,MAT,Mattel
2017-10-01,2017-09-29,MXIM,Maxim Integrated Products
2017-10-01,2017-09-29,MELI,MercadoLibre
2017-10-01,2017-09-29,MCHP,Microchip Technology
2017-10-01,2017-09-29,MU,Micron Technology
2017-10-01,2017-09-29,MSFT,Microsoft
2017-10-01,2017-09-29,MDLZ,Mondelēz International
2017-10-01,2017-09-29,MNST,Monster Beverage
2017-10-01,2017-09-29,MYL,Mylan
2017-10-01,2017-09-29,NTES,NetEase
2017-10-01,2017-09-29,NFLX,Netflix
2017-10-01,2017-09-29,NCLH,Norwegian Cruise Line
2017-10-01,2017-09-29,NVDA,Nvidia
2017-10-01,2017-09-29,ORLY,O'Reilly Auto Parts
2017-10-01,2017-09-29,PCAR,Paccar
2017-10-01,2017-09-29,PAYX,Paychex
2017-10-01,2017-09-29,PYPL,PayPal
2017-10-01,2017-09-29,QCOM,Qualcomm
2017-10-01,2017-09-29,REGN,Regeneron Pharmaceuticals
2017-10-01,2017-09-29,ROST,Ross Stores
2017-10-01,2017-09-29,STX,Seagate Technology
2017-10-01,2017-09-29,SHPG,Shire plc
2017-10-01,2017-09-29,SIRI,Sirius XM Radio
2017-10-01,2017-09-29,SWKS,Skyworks Solutions
2017-10-01,2017-09-29,SBUX,Starbucks
2017-10-01,2017-09-29,SYMC,Symantec
2017-10-01,2017-09-29,TMUS,T-Mobile US
2017-10-01,2017-09-29,TSLA,"Tesla Motors, Inc."
2017-10-01,2017-09-29,TXN,Texas Instruments
2017-10-01,2017-09-29,KHC,The Kraft Heinz Company
2017-10-01,2017-09-29,PCLN,The Priceline Group
2017-10-01,2017-09-29,TSCO,Tractor Supply Company
2017-10-01,2017-09-29,FOXA,Twenty-First Century Fox
2017-10-01,2017-09-29,FOX,Twenty-First Century Fox
2017-10-01,2017-09-29,ULTA,Ulta Beauty
2017-10-01,2017-09-29,VRSK,Verisk Analytics
2017-10-01,2017-09-29,VRTX,Vertex Pharmaceuticals
2017-10-01,2017-09-29,VIAB,Viacom
2017-10-01,2017-09-29,VOD,Vodafone
2017-10-01,2017-09-29,WBA,Walgreens Boots Alliance
2017-10-01,2017-09-29,WDC,Western Digital
2017-10-01,2017-09-29,WYNN,Wynn Resorts
2017-10-01,2017-09-29,XLNX,"Xilinx, Inc."
2018-01-01,2017-12-24,ATVI,Activision Blizzard
2018-01-01,2017-12-24,ADBE,Adobe Systems
2018-01-01,2017-12-24,ALXN,Alexion Pharmaceuticals
2018-01-01,2017-12-24,ALGN,Align Technology
2018-01-01,2017-12-24,GOOGL,Alphabet Inc.
2018-01-01,2017-12-24,GOOG,Alphabet Inc.
2018-01-01,2017-12-24,AMZN,Amazon.com
2018-01-01,2017-12-24,AAL,American Airlines Group
2018-01-01,2017-12-24,AMGN,Amgen
2018-01-01,2017-12-24,ADI,Analog Devices
2018-01-01,2017-12-24,AAPL,Apple Inc.
2018-01-01,2017-12-24,AMAT,Applied Materials
2018-01-01,2017-12-24,ASML,ASML Holding
2018-01-01,2017-12-24,ADSK,Autodesk
2018-01-01,2017-12-24,ADP,Automatic Data Processing
2018-01-01,2017-12-24,BIDU,Baidu
2018-01-01,2017-12-24,BIIB,Biogen
2018-01-01,2017-12-24,BMRN,BioMarin Pharmaceutical
2018-01-01,2017-12-24,AVGO,Broadcom Limited
2018-01-01,2017-12-24,CA,CA Technologies
2018-01-01,2017-12-24,CDNS,Cadence Design Systems
2018-01-01,2017-12-24,CELG,Celgene
2018-01-01,2017-12-24,CERN,Cerner
2018-01-01,2017-12-24,CHTR,Charter Communications
2018-01-01,2017-12-24,CHKP,Check Point
